Country of citizenship,Totals (FY 2021 – FY 2024)
Brazil,174844
Canada,146490
China,166018
Colombia,424779
Cuba,645122
Ecuador,352345
El Salvador,308087
Guatemala,923923
Haiti,457297
Honduras,874867
India,258897
Mexico,2792543
Myanmar,16381
Nicaragua,436440
Other,711279
Peru,173317
Philippines,190671
Romania,18388
Russia,124941
Turkey,54180
Ukraine,263365
Venezuela,837672
